hometeam,date,awayteam,homepts,awaypts,attendance,month,homewin,homemargin,day,stadium,max_capacity,pct_of_max,capacity,pct_of_cap,pct_allowed,gamenumber,reg_remove,season,home_FG,home_FGA,home_FGpct,home_3P,home_3PA,home_3Ppct,home_FT,home_FTA,home_FTpct,home_PF,home_PTS,away_FG,away_FGA,away_FGpct,away_3P,away_3PA,away_3Ppct,away_FT,away_FTA,away_FTpct,away_PF,away_PTS,homeID,awayID,cases100k,death100k,UScases100k,USdeath100k,cases100k2wk,death100k2wk,UScases100k2wk,USdeath100k2wk,form1h,form5h,form10h,form1a,form5a,form10a,republican,matchup
Atlanta Hawks,2018-12-29,Cleveland Cavaliers,111,108,16460,december,TRUE,3,Saturday,"State Farm Arena, Atlanta GA",16888,0.9746565608716248,16888,0.9746565608716248,1,21,0,2019,43,98,0.439,10,37,0.27,15,25,0.6,25,111,40,85,0.471,5,23,0.217,23,29,0.793,23,108,5,45,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8,0.5,0,0,0.2,0.36007388283693303,Atlanta Hawks-Cleveland Cavaliers-2019
Atlanta Hawks,2016-01-27,Los Angeles Clippers,83,85,17664,january,FALSE,-2,Wednesday,"State Farm Arena, Atlanta GA",16888,1.0459497868308858,16888,1.0459497868308858,1,27,0,2016,33,79,0.418,10,23,0.435,7,14,0.5,17,83,33,85,0.388,5,27,0.185,14,21,0.667,14,85,2,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0.6,0.6,1,0.6,0.7,0.36007388283693303,Atlanta Hawks-Los Angeles Clippers-2016
Atlanta Hawks,2019-01-13,Milwaukee Bucks,114,133,16292,january,FALSE,-19,Sunday,"State Farm Arena, Atlanta GA",16888,0.9647086688773093,16888,0.9647086688773093,1,9,0,2019,39,96,0.406,12,38,0.316,24,30,0.8,30,114,49,92,0.533,11,30,0.367,24,33,0.727,25,133,5,133,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4,0.4,0,0.6,0.7,0.36007388283693303,Atlanta Hawks-Milwaukee Bucks-2019
Atlanta Hawks,2020-02-26,Orlando Magic,120,130,14967,february,FALSE,-10,Wednesday,"State Farm Arena, Atlanta GA",16888,0.8862505921364282,16888,0.8862505921364282,1,10,0,2020,42,94,0.447,13,36,0.361,23,25,0.92,22,120,49,100,0.49,14,32,0.438,18,25,0.72,21,130,6,174,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,0.4,1,0.6,0.4,0.36007388283693303,Atlanta Hawks-Orlando Magic-2020
Atlanta Hawks,2018-03-30,Philadelphia 76ers,91,101,16579,march,FALSE,-10,Friday,"State Farm Arena, Atlanta GA",16888,0.9817029843675983,16888,0.9817029843675983,1,18,0,2018,36,101,0.356,9,39,0.231,10,15,0.667,14,91,42,95,0.442,8,38,0.211,9,13,0.692,18,101,4,180,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.1,1,1,0.9,0.36007388283693303,Atlanta Hawks-Philadelphia 76ers-2018
Atlanta Hawks,2014-11-18,Los Angeles Lakers,109,114,17848,november,FALSE,-5,Tuesday,"State Farm Arena, Atlanta GA",16888,1.0568450971103742,16888,1.0568450971103742,1,14,0,2015,41,85,0.482,9,27,0.333,18,23,0.783,17,109,47,87,0.54,6,17,0.353,14,22,0.636,24,114,1,105,NA,NA,NA,NA,NA,NA,NA,NA,0,0.8,NA,0,0.2,0.1,0.36007388283693303,Atlanta Hawks-Los Angeles Lakers-2015
Atlanta Hawks,2018-03-15,Charlotte Hornets,117,129,14486,march,FALSE,-12,Thursday,"State Farm Arena, Atlanta GA",16888,0.8577688299384179,16888,0.8577688299384179,1,14,0,2018,42,90,0.467,16,36,0.444,17,26,0.654,27,117,46,87,0.529,17,33,0.515,20,30,0.667,21,129,4,28,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.2,0,0.2,0.4,0.36007388283693303,Atlanta Hawks-Charlotte Hornets-2018
Atlanta Hawks,2022-03-13,Indiana Pacers,131,128,17038,march,TRUE,3,Sunday,"State Farm Arena, Atlanta GA",16888,1.008882046423496,16888,1.008882046423496,1,38,0,2022,46,84,0.548,17,38,0.447,22,24,0.917,21,131,46,89,0.517,15,35,0.429,21,26,0.808,21,128,8,96,20032.309116202054,204.81839498223093,23927.509691392344,291.1657765650269,93.49180632552452,5.63203652563422,174.42178670766953,5.868745733668447,1,0.6,0.6,1,0.4,0.4,0.36007388283693303,Atlanta Hawks-Indiana Pacers-2022
Atlanta Hawks,2017-03-08,Brooklyn Nets,110,105,11931,march,TRUE,5,Wednesday,"State Farm Arena, Atlanta GA",16888,0.7064779725248698,16888,0.7064779725248698,1,14,0,2017,41,95,0.432,4,20,0.2,24,32,0.75,22,110,37,80,0.463,11,33,0.333,20,25,0.8,25,105,3,19,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,0.3,1,0.4,0.2,0.36007388283693303,Atlanta Hawks-Brooklyn Nets-2017
Atlanta Hawks,2018-12-08,Denver Nuggets,106,98,14409,december,TRUE,8,Saturday,"State Farm Arena, Atlanta GA",16888,0.8532093794410233,16888,0.8532093794410233,1,31,0,2019,40,93,0.43,15,42,0.357,11,16,0.688,23,106,36,97,0.371,9,36,0.25,17,21,0.81,16,98,5,61,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.2,0,0.8,0.7,0.36007388283693303,Atlanta Hawks-Denver Nuggets-2019
