awayteam,date,away_FG,away_FGA,away_FGpct,away_3P,away_3PA,away_3Ppct,away_FT,away_FTA,away_FTpct,away_PF,away_PTS
Houston Rockets,2014-10-28,31,73,.425,12,29,.414,34,50,.680,30,108
Orlando Magic,2014-10-28,32,84,.381,4,11,.364,16,21,.762,25,84
Dallas Mavericks,2014-10-28,38,78,.487,8,21,.381,16,19,.842,20,100
Brooklyn Nets,2014-10-29,39,80,.488,7,19,.368,20,26,.769,21,105
Milwaukee Bucks,2014-10-29,39,80,.488,7,14,.500,21,24,.875,25,106
Detroit Pistons,2014-10-29,31,84,.369,6,26,.231,11,19,.579,27,79
Philadelphia 76ers,2014-10-29,34,89,.382,6,21,.286,17,30,.567,29,91
Minnesota Timberwolves,2014-10-29,39,86,.453,6,12,.500,17,23,.739,21,101
Washington Wizards,2014-10-29,36,75,.480,6,19,.316,17,24,.708,20,95
Chicago Bulls,2014-10-29,36,71,.507,7,24,.292,25,30,.833,18,104
Los Angeles Lakers,2014-10-29,37,86,.430,4,13,.308,21,25,.840,18,99
Oklahoma City Thunder,2014-10-29,33,81,.407,2,16,.125,21,26,.808,28,89
Golden State Warriors,2014-10-29,33,75,.440,6,27,.222,23,32,.719,32,95
Atlanta Hawks,2014-10-29,40,80,.500,13,22,.591,9,17,.529,24,102
Houston Rockets,2014-10-29,40,77,.519,14,27,.519,10,14,.714,23,104
New York Knicks,2014-10-30,37,69,.536,6,12,.500,15,18,.833,26,95
Utah Jazz,2014-10-30,36,83,.434,14,35,.400,16,18,.889,21,102
Oklahoma City Thunder,2014-10-30,28,65,.431,6,21,.286,28,34,.824,27,90
Detroit Pistons,2014-10-30,38,91,.418,7,21,.333,8,13,.615,24,91
Washington Wizards,2014-10-30,39,80,.488,7,13,.538,20,26,.769,25,105
Cleveland Cavaliers,2014-10-31,41,104,.394,3,15,.200,29,33,.879,18,114
Memphis Grizzlies,2014-10-31,35,79,.443,7,19,.368,20,27,.741,21,97
Los Angeles Clippers,2014-10-31,34,71,.479,12,33,.364,38,44,.864,26,118
Philadelphia 76ers,2014-10-31,32,86,.372,5,23,.217,12,22,.545,18,81
San Antonio Spurs,2014-10-31,32,78,.410,8,25,.320,17,23,.739,25,89
Portland Trail Blazers,2014-10-31,34,83,.410,9,26,.346,17,19,.895,26,94
Indiana Pacers,2014-11-01,31,81,.383,12,32,.375,18,21,.857,26,92
Memphis Grizzlies,2014-11-01,29,80,.363,3,11,.273,10,13,.769,22,71
Brooklyn Nets,2014-11-01,42,87,.483,7,26,.269,11,13,.846,23,102
Los Angeles Lakers,2014-11-01,41,88,.466,4,14,.286,18,25,.720,27,104
Boston Celtics,2014-11-01,37,98,.378,1,25,.040,15,18,.833,26,90
Chicago Bulls,2014-11-01,33,69,.478,9,23,.391,31,40,.775,24,106
Dallas Mavericks,2014-11-01,46,89,.517,6,25,.240,11,19,.579,25,109
Denver Nuggets,2014-11-01,35,80,.438,7,26,.269,14,20,.700,26,91
Toronto Raptors,2014-11-01,33,83,.398,4,21,.190,38,48,.792,21,108
Miami Heat,2014-11-01,41,83,.494,12,24,.500,20,29,.690,20,114
Phoenix Suns,2014-11-01,36,87,.414,7,31,.226,12,15,.800,22,91
Milwaukee Bucks,2014-11-01,34,80,.425,9,22,.409,20,24,.833,28,97
Sacramento Kings,2014-11-02,34,68,.500,3,10,.300,27,33,.818,22,98
Toronto Raptors,2014-11-02,37,79,.468,4,16,.250,24,39,.615,28,102
Charlotte Hornets,2014-11-02,33,70,.471,6,15,.400,21,29,.724,16,93
Golden State Warriors,2014-11-02,36,81,.444,6,19,.316,17,21,.810,16,95
Oklahoma City Thunder,2014-11-03,32,82,.390,8,23,.348,13,21,.619,17,85
Boston Celtics,2014-11-03,45,102,.441,11,31,.355,12,16,.750,21,113
Sacramento Kings,2014-11-03,34,81,.420,2,9,.222,40,47,.851,28,110
Utah Jazz,2014-11-03,36,77,.468,10,27,.370,19,24,.792,20,101
New Orleans Pelicans,2014-11-03,29,86,.337,4,24,.167,19,29,.655,30,81
Houston Rockets,2014-11-03,32,75,.427,16,34,.471,24,30,.800,20,104
Orlando Magic,2014-11-04,38,88,.432,6,14,.429,8,14,.571,22,90
Milwaukee Bucks,2014-11-04,37,83,.446,7,21,.333,6,7,.857,22,87
Phoenix Suns,2014-11-04,41,91,.451,6,18,.333,24,31,.774,29,112
Houston Rockets,2014-11-04,35,68,.515,17,37,.459,21,27,.778,26,108
Charlotte Hornets,2014-11-04,37,80,.463,6,21,.286,11,13,.846,15,91
Washington Wizards,2014-11-04,39,80,.488,8,18,.444,12,19,.632,25,98
Cleveland Cavaliers,2014-11-04,31,85,.365,9,21,.429,11,14,.786,19,82
Oklahoma City Thunder,2014-11-04,34,65,.523,6,21,.286,14,25,.560,27,88
Toronto Raptors,2014-11-05,42,87,.483,7,16,.438,19,23,.826,18,110
Minnesota Timberwolves,2014-11-05,37,90,.411,7,17,.412,17,22,.773,21,98
Miami Heat,2014-11-05,30,77,.390,4,22,.182,25,31,.806,25,89
New York Knicks,2014-11-05,39,90,.433,9,20,.450,8,10,.800,23,95
Los Angeles Clippers,2014-11-05,38,82,.463,7,19,.368,21,27,.778,14,104
Chicago Bulls,2014-11-05,34,73,.466,5,16,.313,22,30,.733,18,95
Orlando Magic,2014-11-05,39,88,.443,3,20,.150,10,12,.833,20,91
Memphis Grizzlies,2014-11-05,40,80,.500,9,17,.529,13,17,.765,21,102
Denver Nuggets,2014-11-05,37,82,.451,9,28,.321,26,31,.839,37,109
Atlanta Hawks,2014-11-05,38,92,.413,8,25,.320,8,11,.727,25,92
Cleveland Cavaliers,2014-11-05,30,72,.417,6,16,.375,34,40,.850,22,100
Indiana Pacers,2014-11-05,35,90,.389,8,27,.296,16,20,.800,27,94
San Antonio Spurs,2014-11-06,31,90,.344,2,20,.100,17,19,.895,24,81
Dallas Mavericks,2014-11-06,33,90,.367,5,23,.217,16,16,1.000,17,87
Indiana Pacers,2014-11-07,40,88,.455,5,19,.263,13,13,1.000,17,98
New York Knicks,2014-11-07,37,90,.411,8,19,.421,17,21,.810,24,99
Atlanta Hawks,2014-11-07,43,93,.462,13,33,.394,20,26,.769,33,119
Cleveland Cavaliers,2014-11-07,40,84,.476,6,23,.261,24,33,.727,14,110
