hometeam,date,home_FG,home_FGA,home_FGpct,home_3P,home_3PA,home_3Ppct,home_FT,home_FTA,home_FTpct,home_PF,home_PTS
Los Angeles Lakers,2014-10-28,28,79,.354,3,10,.300,31,39,.795,32,90
New Orleans Pelicans,2014-10-28,41,101,.406,4,17,.235,15,31,.484,17,101
San Antonio Spurs,2014-10-28,37,70,.529,14,28,.500,13,16,.813,20,101
Boston Celtics,2014-10-29,49,88,.557,8,22,.364,15,23,.652,25,121
Charlotte Hornets,2014-10-29,41,101,.406,6,21,.286,20,29,.690,20,108
Denver Nuggets,2014-10-29,30,85,.353,6,24,.250,23,31,.742,21,89
Indiana Pacers,2014-10-29,38,81,.469,8,25,.320,19,28,.679,24,103
Memphis Grizzlies,2014-10-29,43,82,.524,4,15,.267,15,20,.750,21,105
Miami Heat,2014-10-29,39,81,.481,9,28,.321,20,23,.870,17,107
New York Knicks,2014-10-29,31,85,.365,3,17,.176,15,17,.882,22,80
Phoenix Suns,2014-10-29,45,82,.549,16,32,.500,13,18,.722,25,119
Portland Trail Blazers,2014-10-29,39,87,.448,11,29,.379,17,22,.773,19,106
Sacramento Kings,2014-10-29,24,78,.308,3,18,.167,26,35,.743,26,77
Toronto Raptors,2014-10-29,37,90,.411,8,26,.308,27,33,.818,22,109
Utah Jazz,2014-10-29,38,81,.469,3,18,.167,14,17,.824,16,93
Cleveland Cavaliers,2014-10-30,32,70,.457,9,24,.375,17,20,.850,15,90
Dallas Mavericks,2014-10-30,47,85,.553,8,21,.381,18,23,.783,15,120
Los Angeles Clippers,2014-10-30,34,87,.391,7,30,.233,18,25,.720,27,93
Minnesota Timberwolves,2014-10-30,37,76,.487,4,10,.400,19,28,.679,21,97
Orlando Magic,2014-10-30,37,72,.514,6,15,.400,18,24,.750,23,98
Chicago Bulls,2014-10-31,41,90,.456,13,31,.419,13,17,.765,28,108
Indiana Pacers,2014-10-31,34,74,.459,8,21,.381,13,16,.813,15,89
Los Angeles Lakers,2014-10-31,42,82,.512,7,20,.350,20,28,.714,35,111
Milwaukee Bucks,2014-10-31,36,88,.409,9,24,.375,12,21,.571,19,93
Phoenix Suns,2014-10-31,35,87,.402,2,18,.111,22,26,.846,21,94
Sacramento Kings,2014-10-31,34,81,.420,4,10,.400,31,35,.886,24,103
Atlanta Hawks,2014-11-01,35,69,.507,7,20,.350,25,33,.758,20,102
Charlotte Hornets,2014-11-01,26,72,.361,4,14,.286,13,18,.722,16,69
Detroit Pistons,2014-11-01,32,76,.421,1,17,.059,25,35,.714,15,90
Golden State Warriors,2014-11-01,46,83,.554,11,23,.478,24,28,.857,26,127
Houston Rockets,2014-11-01,32,76,.421,12,34,.353,28,40,.700,24,104
Minnesota Timberwolves,2014-11-01,38,85,.447,4,12,.333,25,31,.806,29,105
New Orleans Pelicans,2014-11-01,38,89,.427,7,19,.368,21,28,.750,19,104
Oklahoma City Thunder,2014-11-01,37,80,.463,6,20,.300,22,31,.710,20,102
Orlando Magic,2014-11-01,38,81,.469,7,20,.350,12,24,.500,37,95
Philadelphia 76ers,2014-11-01,35,67,.522,7,23,.304,19,26,.731,21,96
Utah Jazz,2014-11-01,42,88,.477,7,26,.269,27,33,.818,15,118
Washington Wizards,2014-11-01,40,73,.548,4,13,.308,24,33,.727,21,108
Los Angeles Clippers,2014-11-02,33,88,.375,9,31,.290,17,21,.810,25,92
Miami Heat,2014-11-02,35,70,.500,9,24,.375,28,38,.737,29,107
New York Knicks,2014-11-02,39,78,.500,8,16,.500,10,17,.588,26,96
Portland Trail Blazers,2014-11-02,37,92,.402,7,27,.259,9,14,.643,19,90
Brooklyn Nets,2014-11-03,44,84,.524,11,23,.478,17,19,.895,21,116
Dallas Mavericks,2014-11-03,44,82,.537,14,25,.560,16,20,.800,17,118
Denver Nuggets,2014-11-03,36,93,.387,5,24,.208,28,33,.848,35,105
Los Angeles Clippers,2014-11-03,41,81,.506,10,23,.435,15,17,.882,17,107
Memphis Grizzlies,2014-11-03,31,76,.408,4,14,.286,27,37,.730,24,93
Philadelphia 76ers,2014-11-03,33,74,.446,11,22,.500,16,23,.696,20,93
Chicago Bulls,2014-11-04,35,75,.467,7,15,.467,21,27,.778,18,98
